tag,model_name,model_id,modelVersion_name,modelVersion_id,modelVersion_url,modelVersion_trainedWords,model_download_count,baseModel
stable diffusion,stable-diffusion-v1,1000000,v1-4,1000004,https://huggingface.co/CompVis/stable-diffusion-v1-4,[''],609745,SD 1.4
stable diffusion,stable-diffusion-v1,1000000,v1-5,1000005,https://huggingface.co/runwayml/stable-diffusion-v1-5,[''],2276475,SD 1.5
stable diffusion,stable-diffusion-v2,2000000,v2-1,2000001,https://huggingface.co/stabilityai/stable-diffusion-2-1,[''],236096,SD 2.1
female,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
woman,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
clothing,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
girls,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
iraq,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
arabic clothes,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
arabic style,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
baghdad,Arabic Abaya,91138,v1.0,97137,https://civitai.com/api/download/models/97137,[''],137,SD 1.5
character,PRealistic VALight,91002,PRealistic VALight,96988,https://civitai.com/api/download/models/96988,[''],146,SD 1.5
anime,汉服,88891,v1.0,94589,https://civitai.com/api/download/models/94589,['hanfu'],173,SD 1.5
hanfu,汉服,88891,v1.0,94589,https://civitai.com/api/download/models/94589,['hanfu'],173,SD 1.5
clothing,汉服,88891,v1.0,94589,https://civitai.com/api/download/models/94589,['hanfu'],173,SD 1.5
anime,MiRAnimeFantasyV1.1.2,90886,AnimeFantasyV1.1.2,96854,https://civitai.com/api/download/models/96854,[''],140,SD 1.5
character,MiRAnimeFantasyV1.1.2,90886,AnimeFantasyV1.1.2,96854,https://civitai.com/api/download/models/96854,[''],140,SD 1.5
photorealistic,MiRAnimeFantasyV1.1.2,90886,AnimeFantasyV1.1.2,96854,https://civitai.com/api/download/models/96854,[''],140,SD 1.5
style,EN-11,90835,v1.0,96798,https://civitai.com/api/download/models/96798,[''],200,SD 1.5
2.5d,EN-11,90835,v1.0,96798,https://civitai.com/api/download/models/96798,[''],200,SD 1.5
style,franlcalico 6000,86618,v3 6000 model,96392,https://civitai.com/api/download/models/96392,['Evang'],240,Other
style,DarkToon,91295,v1.0,97291,https://civitai.com/api/download/models/97291,[''],293,SD 1.5
anime,Mix Anime Fantasy V1.0,90366,Mix Anime Fantasy 1,96238,https://civitai.com/api/download/models/96238,[''],205,SD 1.5
character,Mix Anime Fantasy V1.0,90366,Mix Anime Fantasy 1,96238,https://civitai.com/api/download/models/96238,[''],205,SD 1.5
female,Mix Anime Fantasy V1.0,90366,Mix Anime Fantasy 1,96238,https://civitai.com/api/download/models/96238,[''],205,SD 1.5
fantasy,Mix Anime Fantasy V1.0,90366,Mix Anime Fantasy 1,96238,https://civitai.com/api/download/models/96238,[''],205,SD 1.5
photorealistic,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
surrealism,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
scifi,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
base model,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
drippy,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
mech,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
food,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
woman,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
man,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
photorealism,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
color,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
foodporn,OMNI,68240,v1.0,72925,https://civitai.com/api/download/models/72925,"[' LIQUID SPLASH,BRTDRPP,Fruitfusion']",272,SD 1.5
character,BeautifulFantasyKoreaMix,97566,v1.0,104299,https://civitai.com/api/download/models/104299,['ys'],155,SD 1.5
woman,BeautifulFantasyKoreaMix,97566,v1.0,104299,https://civitai.com/api/download/models/104299,['ys'],155,SD 1.5
girls,BeautifulFantasyKoreaMix,97566,v1.0,104299,https://civitai.com/api/download/models/104299,['ys'],155,SD 1.5
character,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
chinese boy,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
chinese male,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
wuxia,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
dorama,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
刺客列传,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
zhong kunyi,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
仲堃仪,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
men with swords,Zhong Kunyi 仲堃仪 ,84039,v1.0,89317,https://civitai.com/api/download/models/89317,['photo of zky zhong kunyi'],35,SD 1.5
character,pact with whitch,52677,v1.0,57073,https://civitai.com/api/download/models/57073,['poggers'],35,SD 1.5
politician,SDQC : Dominique Anglade - Chefs 2022 Quebec,59728,v1.0,64178,https://civitai.com/api/download/models/64178,['doang woman'],40,SD 1.5
celebrity,SDQC : Dominique Anglade - Chefs 2022 Quebec,59728,v1.0,64178,https://civitai.com/api/download/models/64178,['doang woman'],40,SD 1.5
quebec,SDQC : Dominique Anglade - Chefs 2022 Quebec,59728,v1.0,64178,https://civitai.com/api/download/models/64178,['doang woman'],40,SD 1.5
energy,djz Energy Adonis,23767,v21,28392,https://civitai.com/api/download/models/28392,['energyadonis'],51,SD 2.1 768
style,djz Energy Adonis,23767,v21,28392,https://civitai.com/api/download/models/28392,['energyadonis'],51,SD 2.1 768
adonis,djz Energy Adonis,23767,v21,28392,https://civitai.com/api/download/models/28392,['energyadonis'],51,SD 2.1 768
celebrity,"Jesse Klaver Groen Links ""Muppet""",18689,v1,22175,https://civitai.com/api/download/models/22175,['jsklr'],45,SD 1.5
real person,"Jesse Klaver Groen Links ""Muppet""",18689,v1,22175,https://civitai.com/api/download/models/22175,['jsklr'],45,SD 1.5
muppet,"Jesse Klaver Groen Links ""Muppet""",18689,v1,22175,https://civitai.com/api/download/models/22175,['jsklr'],45,SD 1.5
groen links,"Jesse Klaver Groen Links ""Muppet""",18689,v1,22175,https://civitai.com/api/download/models/22175,['jsklr'],45,SD 1.5
jesse klaver,"Jesse Klaver Groen Links ""Muppet""",18689,v1,22175,https://civitai.com/api/download/models/22175,['jsklr'],45,SD 1.5
chess,CEO unitgen,4595,v1(test),5238,https://civitai.com/api/download/models/5238,['sks chessevolved'],48,SD 1.5
style,Garcia 10000 model,88508,v3 Safetenser ,96350,https://civitai.com/api/download/models/96350,['Evang'],298,Other
anime,KaelvinSmix,1956,KaelvinSmix v2,3787,https://civitai.com/api/download/models/3787,[''],2154,Other
sharp focus,KaelvinSmix,1956,KaelvinSmix v2,3787,https://civitai.com/api/download/models/3787,[''],2154,Other
masterpiece,KaelvinSmix,1956,KaelvinSmix v2,3787,https://civitai.com/api/download/models/3787,[''],2154,Other
portraits,KaelvinSmix,1956,KaelvinSmix v2,3787,https://civitai.com/api/download/models/3787,[''],2154,Other
neon,djz Neon Citadel,26783,v21,32057,https://civitai.com/api/download/models/32057,['neoncitadel'],63,SD 2.1 768
style,djz Neon Citadel,26783,v21,32057,https://civitai.com/api/download/models/32057,['neoncitadel'],63,SD 2.1 768
citadel,djz Neon Citadel,26783,v21,32057,https://civitai.com/api/download/models/32057,['neoncitadel'],63,SD 2.1 768
djz,djz Neon Citadel,26783,v21,32057,https://civitai.com/api/download/models/32057,['neoncitadel'],63,SD 2.1 768
woman,MJimenez,51356,v2.0,55935,https://civitai.com/api/download/models/55935,['mjimenez'],43,SD 1.5
celebrity,MJimenez,51356,v2.0,55935,https://civitai.com/api/download/models/55935,['mjimenez'],43,SD 1.5
style,zhidiao,77122,v1.0,81908,https://civitai.com/api/download/models/81908,['zhidiao'],215,Other
